category,canonical_keyword,original_keyword,id
Access & Equity,access,access,2
Access & Equity,access to basic services,access to basic services,3
Access & Equity,access to information,access to information,4
Access & Equity,access to quality and safety standards,access to quality and safety standards,4120
Access & Equity,accessibility,accessibility,6
Access & Equity,affordability,affordability,9
Agriculture & Food Systems,affordable agricultural & industrial machineries,affordable agricultural & industrial machineries,10
Agriculture & Food Systems,agricultural data,agricultural data,10606
Agriculture & Food Systems,agricultural development,Agricultiural development,5048
Agriculture & Food Systems,agricultural education,Agricultural Education,10929
Agriculture & Food Systems,agricultural innovative technologies,Agricaultural innovative technologies,10939
Agriculture & Food Systems,agricultural investment,agricultural investment,10780
Agriculture & Food Systems,agricultural mechanization,agricultural mechanization,1572
Agriculture & Food Systems,agriculture,agriculture,13
Agriculture & Food Systems,agriculture production,Agriculture Production,4734
Agriculture & Food Systems,"agriculture, cooperativism","agriculture, cooperativism",4126
Agriculture & Food Systems,agrifood industry,Agrifood Industry,10943
Agriculture & Food Systems,agritourism,agritourism,3564
Agriculture & Food Systems,agrotech,agrotech,14
Agriculture & Food Systems,agtech,agtech,15
Agriculture & Food Systems,ai in agriculture,AI in Agriculture,10904
Agriculture & Food Systems,coffee,coffee,1538
Agriculture & Food Systems,digital agriculture,digital agriculture,19557
Agriculture & Food Systems,digitalagriculture,digitalagriculture,5561
Agriculture & Food Systems,fair and clean food,fair and clean food,1426
Agriculture & Food Systems,farmer-herder conflicts,farmer-herder conflicts,4236
Agriculture & Food Systems,food,food,128
Agriculture & Food Systems,food preservation,food preservation,129
Agriculture & Food Systems,food processing,food processing,130
Agriculture & Food Systems,food rescue,food rescue,4441
Agriculture & Food Systems,food security,food security,131
Agriculture & Food Systems,food system,food system,2661
Agriculture & Food Systems,food value chains,food value chains,132
Agriculture & Food Systems,hydroponic,hydroponic,1445
Agriculture & Food Systems,hydroponic farming,hydroponic farming,1660
Agriculture & Food Systems,increased agricultural production,increased agricultural production,2337
Agriculture & Food Systems,irrigation,irrigation,932
Agriculture & Food Systems,livestock production,livestock production,921
Agriculture & Food Systems,natural farming,natural farming,1425
Agriculture & Food Systems,organic production,organic production,196
Agriculture & Food Systems,pest control,pest control,204
Agriculture & Food Systems,planting,planting,205
Agriculture & Food Systems,rural development,rural development,241
Agriculture & Food Systems,rurality,rurality,243
Agriculture & Food Systems,small holder farmers,small holder farmers,4712
Agriculture & Food Systems,smart farming,smart farming,1826
Agriculture & Food Systems,sustainable agriculture,sustainable agriculture,261
Agriculture & Food Systems,sustainable agriculture practices,Sustainable Agriculture Practices,10947
Agriculture & Food Systems,sustainable home gardens,sustainable home gardens,262
Agriculture & Food Systems,urban farming,urban farming,1018
Agriculture & Food Systems,value chain,value chain,286
Agriculture & Food Systems,women in agriculture,women in agriculture,838
Civic & Community Participation,activism,activism,8
Civic & Community Participation,advocacy,advocacy,4641
Civic & Community Participation,civil participation,civil participation,4316
Civic & Community Participation,commons,commons,56
Civic & Community Participation,communication,communication,57
Civic & Community Participation,community,community,1870
Civic & Community Participation,community development,Community development,4985
Civic & Community Participation,community empowerment,community empowerment,59
Civic & Community Participation,community engagement,community engagement,762
Civic & Community Participation,community hub for local solutions,community hub for local solutions,60
Civic & Community Participation,community involment,community  involment,935
Civic & Community Participation,community involment,community involment,61
Civic & Community Participation,community involvement,community involvement,62
Civic & Community Participation,community organizing,community organizing,63
Civic & Community Participation,community project,community project,4121
Civic & Community Participation,community projects,Community Projects,6071
Civic & Community Participation,community relience,community relience,1211
Civic & Community Participation,grassroot solutions,grassroot solutions,738
Civic & Community Participation,sharing information,sharing information,3080
Civic & Community Participation,social media campaign,Social media campaign,1174
Civic & Community Participation,volunteering,volunteering,289
Climate & Resilience,adaptation,adaptation,4709
Climate & Resilience,adaptation action at the local level,Adaptation action at the local level,5983
Climate & Resilience,adaptation to the impacts of climate change,Adaptation to the impacts of climate change,5876
Climate & Resilience,agri-food resilience,agri-food resilience,765
Climate & Resilience,carbon sequestration,carbo sequestration,10876
Climate & Resilience,climate,climate,4334
Climate & Resilience,climate action,climate action,4092
Climate & Resilience,climate action and sustainable cities and communities,Climate Action and Sustainable Cities and Communities,5607
Climate & Resilience,climate action plan,Climate action plan,6334
Climate & Resilience,climate action tracker,Climate Action Tracker,6869
Climate & Resilience,climate adaptation,climate adaptation,4434
Climate & Resilience,climate change,climate change,50
Climate & Resilience,climate change adaptation,adaptacion al cambio climatico,4574
Climate & Resilience,climate change adaptation,cimate change adaptation,4572
Climate & Resilience,climate change mitigation,Climate Change Mitigation,6788
Climate & Resilience,climate change simulation,climate change simulation,51
Climate & Resilience,climate finance,Climate Finance,6855
Climate & Resilience,climate innovation.,Climate Innovation.,6929
Climate & Resilience,climate resilience,climate resilience,4088
Climate & Resilience,climate resilience,climate resiliency,52
Climate & Resilience,climate security,climate security,4445
Climate & Resilience,community resilience,community resilience,64
Climate & Resilience,disaster resilience,disaster resilience,96
Climate & Resilience,disaster resilience goals,Disaster resilience goals,5914
Climate & Resilience,drought,drought,2258
Climate & Resilience,emissions tracking,Emissions Tracking,6866
Climate & Resilience,ensuring the urban resilience,Ensuring the urban resilience,5957
Climate & Resilience,environmental resilience,environmental resilience,10553
Climate & Resilience,flooding,flooding,1278
Climate & Resilience,"green transition, ","green transition,",4647
Climate & Resilience,heat management,heat management,3713
Climate & Resilience,just transition,just transition,4443
Climate & Resilience,reducing co2 emission,Reducing CO2 Emission,6245
Climate & Resilience,resilience,resilience,4432
Climate & Resilience,resilience improvement,Resilience improvement,5881
Climate & Resilience,resilient agriculture,resilient agriculture,4447
Climate & Resilience,urban climate resilience,urban climate resilience,6989
Climate & Resilience,women and climate,women and climate,6715
"Culture, Arts & Tourism",adventure tourism,adventure tourism,3561
"Culture, Arts & Tourism",art,art,21
"Culture, Arts & Tourism",community tourism,community tourism,870
"Culture, Arts & Tourism",craftsmanship,craftsmanship,4143
"Culture, Arts & Tourism",cultural heritage,cultural heritage,72
"Culture, Arts & Tourism",culture,culture,73
"Culture, Arts & Tourism",ecotourism,ecotourism,106
"Culture, Arts & Tourism",preservation of culture,preservation of culture,861
"Culture, Arts & Tourism",recreation and sports,recreation and sports,230
"Culture, Arts & Tourism",rejuvenating tourism,rejuvenating tourism,235
"Culture, Arts & Tourism",sustainable tourism,sustainable tourism,4133
"Culture, Arts & Tourism",tourism,tourism,271
"Culture, Arts & Tourism",tourist service,tourist service,4636
"Culture, Arts & Tourism",turismo comunitario,turismo comunitario,19649
Disaster Risk Management & Humanitarian,clarification about risks,Clarification about risks,5973
Disaster Risk Management & Humanitarian,community-based disaster response and management,community-based disaster response and management,8563
Disaster Risk Management & Humanitarian,crises,crises,1195
Disaster Risk Management & Humanitarian,disaster,disaster,95
Disaster Risk Management & Humanitarian,disaster preparedness,disaster preparedness,4435
Disaster Risk Management & Humanitarian,disaster risk management,Disaster Risk Management,5916
Disaster Risk Management & Humanitarian,disaster risk reduction,disaster risk reduction,2041
Disaster Risk Management & Humanitarian,drr,drr,8561
Disaster Risk Management & Humanitarian,earthquake,earthquake,4722
Disaster Risk Management & Humanitarian,earthquake response,earthquake response,4724
Disaster Risk Management & Humanitarian,recovery and reconstruction,recovery and reconstruction,10496
"Economy, Markets & Private Sector",afcfta,afcfta,4431
"Economy, Markets & Private Sector",affordable mining technology,affordable mining technology,3936
"Economy, Markets & Private Sector",associativity,associativity,4714
"Economy, Markets & Private Sector",better livelihood,better livelihood,26
"Economy, Markets & Private Sector",business for change,business for change,36
"Economy, Markets & Private Sector",business support,business support,37
"Economy, Markets & Private Sector",clusters,clusters,4713
"Economy, Markets & Private Sector",communities markets,communities markets,4114
"Economy, Markets & Private Sector","community involment, youth, employment","community  involment, youth, employment",58
"Economy, Markets & Private Sector",creative economy,creative economy,69
"Economy, Markets & Private Sector",cross border trading,cross border trading,3983
"Economy, Markets & Private Sector",development minerals,development minerals,3937
"Economy, Markets & Private Sector",digital economy,digital economy,81
"Economy, Markets & Private Sector",digital market,Digital market,2783
"Economy, Markets & Private Sector",digitization of the informal sector,digitization of the informal sector,93
"Economy, Markets & Private Sector",ecommerce,e-commerce,97
"Economy, Markets & Private Sector",ecommerce,ecommerce,758
"Economy, Markets & Private Sector",economic development,Economic development,4999
"Economy, Markets & Private Sector",economic empowerment,economic empowerment,102
"Economy, Markets & Private Sector",economic growth,economic growth,103
"Economy, Markets & Private Sector",economy,economy,884
"Economy, Markets & Private Sector",efficiency,efficiency,1579
"Economy, Markets & Private Sector",employability,employability,3955
"Economy, Markets & Private Sector",employment,employment,110
"Economy, Markets & Private Sector",employment opportunities,employment opportunities,4702
"Economy, Markets & Private Sector",entrepreneurial eco-system,entrepreneurial eco-system,115
"Economy, Markets & Private Sector",entrepreneurship,entrepreneurship,116
"Economy, Markets & Private Sector",formalising the informal,formalising the informal,747
"Economy, Markets & Private Sector",green economy,green economy,148
"Economy, Markets & Private Sector",inclusive economic development,inclusive economic development,162
"Economy, Markets & Private Sector",income generation,income generation,749
"Economy, Markets & Private Sector",informal businesses,informal businesses,166
"Economy, Markets & Private Sector",informal businesses to formal businesses,informal businesses to formal businesses,885
"Economy, Markets & Private Sector",informal employment,informal employment,167
"Economy, Markets & Private Sector",informal markets,informal markets,168
"Economy, Markets & Private Sector",informality,informality,169
"Economy, Markets & Private Sector",intellectual property,intellectual property,19554
"Economy, Markets & Private Sector",jobs,jobs,3200
"Economy, Markets & Private Sector",jobs of the future,jobs of the future,6740
"Economy, Markets & Private Sector",livelihood,livelihood,179
"Economy, Markets & Private Sector",livelihood and decent work,livelihood and decent work,180
"Economy, Markets & Private Sector",local consumption,Local Consumption,1089
"Economy, Markets & Private Sector",local development,local development,4002
"Economy, Markets & Private Sector",local economy development,local economy development,2792
"Economy, Markets & Private Sector",local products,local products,10625
"Economy, Markets & Private Sector",locally made,locally made,4078
"Economy, Markets & Private Sector",market,market,3942
"Economy, Markets & Private Sector",market need,market need,182
"Economy, Markets & Private Sector",micro small medium enterprises,micro small medium enterprises,892
"Economy, Markets & Private Sector","micro, small, medium enterprises","micro, small, medium enterprises",185
"Economy, Markets & Private Sector",modern market,modern market,4186
"Economy, Markets & Private Sector",modernized productive sectors,modernized productive sectors,187
"Economy, Markets & Private Sector",msmes,msmes,4184
"Economy, Markets & Private Sector",orange economy,orange economy,19553
"Economy, Markets & Private Sector",partnership with private sector,partnership with private sector,201
"Economy, Markets & Private Sector",private sector,private sector,1215
"Economy, Markets & Private Sector",private sector engagement,private sector engagement,214
"Economy, Markets & Private Sector",private sector support,private sector support,2976
"Economy, Markets & Private Sector",productivity,productivity,757
"Economy, Markets & Private Sector",re-invented business models,re-invented business models,228
"Economy, Markets & Private Sector",regional trade,regional trade,4430
"Economy, Markets & Private Sector",small medium enterprises,small medium enterprises,868
"Economy, Markets & Private Sector",smes,smes,249
"Economy, Markets & Private Sector",social entrepreneurship,social entrepreneurship,1844
"Economy, Markets & Private Sector",socio-economic impact and needs assessment,socio-economic impact and needs assessment,254
"Economy, Markets & Private Sector",solidarity economy,economía solidaria,105
"Economy, Markets & Private Sector",solidarity economy,solidarity economy,257
"Economy, Markets & Private Sector",startup,start-up,1584
"Economy, Markets & Private Sector",startup,startup,4721
"Economy, Markets & Private Sector",sustainable trade,sustainable trade,4240
"Economy, Markets & Private Sector",textile,textile,268
"Economy, Markets & Private Sector",trade,trade,272
"Economy, Markets & Private Sector",unemployment,unemployment,282
"Economy, Markets & Private Sector",value addition,value addition,3938
"Economy, Markets & Private Sector",value-based economy,value-based economy,4490
"Economy, Markets & Private Sector",women economic empowerment,women economic empowerment,5562
"Economy, Markets & Private Sector",women employment,women employment,299
"Economy, Markets & Private Sector",women-led businesses,women-led businesses,4196
"Economy, Markets & Private Sector",youth and unemployment,youth and unemployment,304
Ecosystems & Biodiversity,air pollution,air pollution,16
Ecosystems & Biodiversity,biodiversity,biodiversity,30
Ecosystems & Biodiversity,biology,biology,3522
Ecosystems & Biodiversity,birds,birds,3649
Ecosystems & Biodiversity,conservation,conservation,985
Ecosystems & Biodiversity,deforestation,deforestation,77
Ecosystems & Biodiversity,ecological,ecological,2461
Ecosystems & Biodiversity,ecological bags,ecological bags,100
Ecosystems & Biodiversity,ecological farming,ecological farming,101
Ecosystems & Biodiversity,ecological movements,ecological movements,862
Ecosystems & Biodiversity,ecosystem services,Ecosystem Services,7034
Ecosystems & Biodiversity,ecosystem strengthening,ecosystem strengthening,6349
Ecosystems & Biodiversity,entrepreneurial ecosystem,entrepreneurial ecosystem,4159
Ecosystems & Biodiversity,environment,enviroment,4079
Ecosystems & Biodiversity,environment,environment,117
Ecosystems & Biodiversity,environment friendly,environment friendly,118
Ecosystems & Biodiversity,environmental ecosystem,environmental ecosystem,119
Ecosystems & Biodiversity,environmental education,environmental education,120
Ecosystems & Biodiversity,environmental justice,environmental justice,3313
Ecosystems & Biodiversity,environmental mapping,enviromental mapping,4160
Ecosystems & Biodiversity,environmental monitoring,environmental monitoring,3581
Ecosystems & Biodiversity,"environmental, social, and corporate governance (esg)","environmental, social, and corporate governance (esg)",4329
Ecosystems & Biodiversity,forest conservation,forest conservation,2428
Ecosystems & Biodiversity,green ideas,green ideas,149
Ecosystems & Biodiversity,health and environment,health and environment,153
Ecosystems & Biodiversity,innovation ecosystem,innovation ecosystem,4237
Ecosystems & Biodiversity,land management,land management,10843
Ecosystems & Biodiversity,natural solutions,natural solutions,190
Ecosystems & Biodiversity,nature-based solutions,nature-based solutions,191
Ecosystems & Biodiversity,ocean conservation,ocean conservation,1635
Ecosystems & Biodiversity,plastic-free environment,plastic-free environment,2731
Ecosystems & Biodiversity,pollution reduction,pollution reduction,211
Ecosystems & Biodiversity,pollution reduction,polution reduction,1715
Ecosystems & Biodiversity,protecting the environment,protecting the environment,216
Ecosystems & Biodiversity,resource management,resource management,238
Ecosystems & Biodiversity,self-sustainable,self-sustainable,840
Ecosystems & Biodiversity,sustainability,sustainability,4150
Ecosystems & Biodiversity,sustainability strategy,sustainability strategy,260
Ecosystems & Biodiversity,sustainable development,sustainable development,741
Ecosystems & Biodiversity,sustainable land managemnt,sustainable land managemnt,4139
Ecosystems & Biodiversity,urban forestry,Urban Forestry,6800
Ecosystems & Biodiversity,waste ecosystem,waste ecosystem,4717
Ecosystems & Biodiversity,water conservation,water conservation,296
Ecosystems & Biodiversity,wildlife,wildlife,2143
Education & Skills,access to education,access to education,763
Education & Skills,blended learning,blended learning,32
Education & Skills,career counselling,career counselling,4710
Education & Skills,changemaking skills,changemaking skills,3996
Education & Skills,chat in career counselling,chat in career counselling,6400
Education & Skills,digital education,digital education,2031
Education & Skills,digital learning,digital lerning,894
Education & Skills,digital skills,digital skills,88
Education & Skills,disaster education,disaster education,8562
Education & Skills,education,education,107
Education & Skills,edutainment,edutainment,6405
Education & Skills,free education,Free Education,1260
Education & Skills,future skills,future skills,10514
Education & Skills,inclusive education,inclusive education,2355
Education & Skills,learning,learning,177
Education & Skills,learning communities,learning communities,4010
Education & Skills,local knowledge and skills,local knowledge and skills,4161
Education & Skills,online learning,online learning,193
Education & Skills,quality education,quality education,227
Education & Skills,school,school,1073
Education & Skills,skills,skills,3956
Education & Skills,stem,stem,4014
Education & Skills,training,training,274
Education & Skills,vocational training,vocational training,288
Energy,affordable and clean energy,Affordable and Clean Energy,5563
Energy,affordable energy,affordable energy,844
Energy,alternative energy,alternative energy,17
Energy,biofuel,biofuel,2790
Energy,biomass,biomass,764
Energy,clean cooking,clean cooking,1059
Energy,clean energy,clean energy,49
Energy,cooking,cooking,65
Energy,cooking stove,cooking stove,2922
Energy,electricity,electricity,109
Energy,energy,energy,112
Energy,energy access,energy access,4132
Energy,energy communities,Energy communities,6072
Energy,energy efficiency,energy efficiency,113
Energy,energy saving,energy saving,114
Energy,energy transitions,energy transitions,2493
Energy,green energy,green energy,4198
Energy,incentive renewable energy,Incentive renewable energy,6073
Energy,renewable energy,renewable energy,236
Energy,renewable energy,reneweable energy,843
Energy,rural electrification,rural electrification,242
Energy,solar energy,solar energy,255
Energy,sustainable energy,sustainable energy,948
Energy,women in energy sector,women in energy sector,2815
Finance & Investment,access to finance,Access to finance,4834
Finance & Investment,alternative finance,alternative finance,18
Finance & Investment,crowdfunding,crowdfunding,70
Finance & Investment,finance and knowledge,finance and knowledge,124
Finance & Investment,financial support for the communities,Financial support for the communities,5965
Finance & Investment,funding,Funding,907
Finance & Investment,fundraising,fundraising,4006
Finance & Investment,incentive,incentive,159
Finance & Investment,sustainable finance,Sustainable Finance,6846
Finance & Investment,sustainable financing,sustainable financing,4018
Finance & Investment,sustainable investment,Sustainable Investment,6957
Finance & Investment,tax incentives,tax incentives,19592
"Governance, Policy & Public Sector",accountability,accountability,4037
"Governance, Policy & Public Sector",active citizenship,active citizenship,7
"Governance, Policy & Public Sector",anticipatory governance,anticipatory governance,4020
"Governance, Policy & Public Sector",building trust in government,building trust in government,35
"Governance, Policy & Public Sector",citizen engagement,Citizen Engagement,6913
"Governance, Policy & Public Sector",citizen engagement and feedback,citizen engagement and feedback,6713
"Governance, Policy & Public Sector",citizen engagment and feedback,citizen engagment and feedback,43
"Governance, Policy & Public Sector",citizen science,citizen science,44
"Governance, Policy & Public Sector",civic participation,civic participation,45
"Governance, Policy & Public Sector",civic technologies,civic technologies,46
"Governance, Policy & Public Sector",civil registration and vital statistics,civil registration and vital statistics,47
"Governance, Policy & Public Sector",civil society organization,civil society organization,2300
"Governance, Policy & Public Sector",democratic governance,democratic governance,4477
"Governance, Policy & Public Sector",digital government,digital government,4259
"Governance, Policy & Public Sector",e-governance,e-governance,98
"Governance, Policy & Public Sector","economic diversification, governance, and citizens agency","economic diversification, governance, and citizens agency",4470
"Governance, Policy & Public Sector",geolocalization,geolocalization,872
"Governance, Policy & Public Sector",governance,governance,144
"Governance, Policy & Public Sector",governance cluster (co),governance cluster (co),145
"Governance, Policy & Public Sector","governance, economic diversification, and citizen agency","governance, economic diversification, and citizen agency",4073
"Governance, Policy & Public Sector",government,government,146
"Governance, Policy & Public Sector",government innovation,government innovation,147
"Governance, Policy & Public Sector",government legislation,Government legislation,1117
"Governance, Policy & Public Sector",green policy,Green Policy,6848
"Governance, Policy & Public Sector",legal services,legal services,178
"Governance, Policy & Public Sector",local government,local government,1497
"Governance, Policy & Public Sector",localization,Localization,922
"Governance, Policy & Public Sector",multi-stakeholder approach,multi-stakeholder approach,189
"Governance, Policy & Public Sector",municipal,municipal,1352
"Governance, Policy & Public Sector",municipal governments and participatory boards,municipal governments and participatory boards,10502
"Governance, Policy & Public Sector",new public services,new public services,192
"Governance, Policy & Public Sector",participatory design,participatory design,770
"Governance, Policy & Public Sector",participatory governance,participatory governance,198
"Governance, Policy & Public Sector",participatory solutions,participatory solutions,199
"Governance, Policy & Public Sector",policy innovation,policy innovation,210
"Governance, Policy & Public Sector",policy making,policy making,10699
"Governance, Policy & Public Sector",political polarization,political polarization,4476
"Governance, Policy & Public Sector",public consultations,public consultations,219
"Governance, Policy & Public Sector",public policy planning,public policy planning,221
"Governance, Policy & Public Sector",public sector innovation,public sector innovation,222
"Governance, Policy & Public Sector",public sector innovation,pulic sector innovation,2987
"Governance, Policy & Public Sector",public sector innovation,punlic sector innovation,226
